Country Or Territory,NUTS Code,Air Pollutant,Category,Outcome,Health Indicator,Description Of Age Group,Population,Affected Population,Air Pollution Population Weighted Average [ug/m3],Value,Value for 100k Of Affected Population
Denmark,DK,PM2.5,Total burden of disease,Ischemic heart disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,5865367,4202648,7.7,1877,44.7
Croatia,HR,NO2,Mortality,Stroke,Years of Life Lost (YLL),>= 25 years of age,3861902,2913915,12.6,878,30.1
Croatia,HR,PM2.5,Morbidity,Lung cancer,Years Lived with Disability (YLD),>= 25 years of age,3861902,2913915,14.2,60,2.1
Denmark,DK,NO2,Morbidity,Asthma - children and adolescents,Years Lived with Disability (YLD),< 19 years of age,5865367,1218729,7.5,20,1.7
Denmark,DK,NO2,Total burden of disease,Asthma - adults,Disability-Adjusted Life Years (DALY),>= 19 years of age,5865367,4646637,7.5,65,1.4
Denmark,DK,O3,Mortality,All causes,Attributable deaths (AD),>= 0 years of age,5865367,5865366,2567.2,171,2.9
Denmark,DK,PM2.5,Mortality,Ischemic heart disease,Attributable deaths (AD),>= 25 years of age,5865367,4202648,7.7,183,4.4
Denmark,DK,PM2.5,Mortality,Lung cancer,Attributable deaths (AD),>= 25 years of age,5865367,4202648,7.7,177,4.2
Cyprus,CY,PM2.5,Morbidity,Stroke,Years Lived with Disability (YLD),>= 25 years of age,1256320,924368,14.7,418,45.3
Cyprus,CY,PM2.5,Mortality,Chronic obstructive pulmonary disease,Years of Life Lost (YLL),>= 25 years of age,1256320,924368,14.7,430,46.6
Cyprus,CY,PM2.5,Mortality,Diabetes Mellitus,Attributable deaths (AD),>= 25 years of age,1256320,924368,14.7,297,32.2
Cyprus,CY,PM2.5,Mortality,Lung cancer,Years of Life Lost (YLL),>= 25 years of age,1256320,924368,14.7,1147,124.1
Cyprus,CY,PM2.5,Total burden of disease,Asthma - children and adolescents,Disability-Adjusted Life Years (DALY),< 19 years of age,1256320,245017,14.7,150,61.6
Cyprus,CY,PM2.5,Total burden of disease,Lung cancer,Disability-Adjusted Life Years (DALY),>= 25 years of age,1256320,924368,14.7,1160,125.6
