Country Or Territory,NUTS Code,Air Pollutant,Category,Outcome,Health Indicator,Description Of Age Group,Population,Affected Population,Air Pollution Population Weighted Average [ug/m3],Value,Value for 100k Of Affected Population
Ireland,IE,PM2.5,Mortality,Chronic obstructive pulmonary disease,Years of Life Lost (YLL),>= 25 years of age,5154073,3496692,7.0,887,25.4
Lithuania,LT,NO2,Morbidity,Diabetes Mellitus,Years Lived with Disability (YLD),>= 25 years of age,2805763,2119968,9.7,114,5.4
Lithuania,LT,NO2,Mortality,Diabetes Mellitus,Years of Life Lost (YLL),>= 25 years of age,2805763,2119968,9.7,229,10.8
Lithuania,LT,PM2.5,Morbidity,Chronic obstructive pulmonary disease,Years Lived with Disability (YLD),>= 25 years of age,2805763,2119968,9.7,858,40.5
Lithuania,LT,PM2.5,Morbidity,Dementia,Years Lived with Disability (YLD),>= 60 years of age,2805763,778625,9.7,1647,211.5
Lithuania,LT,PM2.5,Morbidity,Ischemic heart disease,Years Lived with Disability (YLD),>= 25 years of age,2805763,2119968,9.7,157,7.4
Lithuania,LT,PM2.5,Morbidity,Lung cancer,Years Lived with Disability (YLD),>= 25 years of age,2805763,2119968,9.7,14,0.7
Lithuania,LT,PM2.5,Mortality,Diabetes Mellitus,Attributable deaths (AD),>= 25 years of age,2805763,2119968,9.7,145,6.8
Lithuania,LT,PM2.5,Mortality,Stroke,Years of Life Lost (YLL),>= 25 years of age,2805763,2119968,9.7,4482,211.4
Italy,IT,NO2,Morbidity,Stroke,Years Lived with Disability (YLD),>= 25 years of age,59028195,45749377,18.3,7328,16.0
Italy,IT,NO2,Mortality,Chronic obstructive pulmonary disease,Years of Life Lost (YLL),>= 25 years of age,59028195,45749377,18.3,16210,35.4
Italy,IT,NO2,Total burden of disease,Chronic obstructive pulmonary disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,59028195,45749377,18.3,24300,53.1
Italy,IT,PM2.5,Morbidity,Diabetes Mellitus,Years Lived with Disability (YLD),>= 25 years of age,59028195,45749377,15.1,21387,46.7
Italy,IT,PM2.5,Morbidity,Ischemic heart disease,Years Lived with Disability (YLD),>= 25 years of age,59028195,45749377,15.1,2645,5.8
Greece,GR,NO2,Mortality,Asthma - adults,Attributable deaths (AD),>= 19 years of age,10456590,8602423,17.1,3,0.0
Greece,GR,NO2,Mortality,Asthma - children and adolescents,Years of Life Lost (YLL),< 19 years of age,10456590,1854166,17.1,0,0.0
Greece,GR,NO2,Mortality,Diabetes Mellitus,Years of Life Lost (YLL),>= 25 years of age,10456590,7977724,17.1,3954,49.6
Greece,GR,NO2,Total burden of disease,Diabetes Mellitus,Disability-Adjusted Life Years (DALY),>= 25 years of age,10456590,7977724,17.1,7132,89.4
Greece,GR,NO2,Total burden of disease,Stroke,Disability-Adjusted Life Years (DALY),>= 25 years of age,10456590,7977724,17.1,5668,71.1
Greece,GR,PM2.5,Morbidity,Diabetes Mellitus,Years Lived with Disability (YLD),>= 25 years of age,10456554,7977697,15.5,4718,59.1
Greece,GR,PM2.5,Morbidity,Stroke,Years Lived with Disability (YLD),>= 25 years of age,10456554,7977697,15.5,4518,56.6
Greece,GR,PM2.5,Mortality,All causes,Years of Life Lost (YLL),>= 30 years of age,10456554,7447940,15.5,91210,1224.6
Greece,GR,PM2.5,Mortality,Chronic obstructive pulmonary disease,Attributable deaths (AD),>= 25 years of age,10456554,7977697,15.5,698,8.8
Greece,GR,PM2.5,Mortality,Diabetes Mellitus,Years of Life Lost (YLL),>= 25 years of age,10456554,7977697,15.5,11530,144.5
Greece,GR,PM2.5,Mortality,Ischemic heart disease,Years of Life Lost (YLL),>= 25 years of age,10456554,7977697,15.5,26564,333.0
Greece,GR,PM2.5,Total burden of disease,Diabetes Mellitus,Disability-Adjusted Life Years (DALY),>= 25 years of age,10456554,7977697,15.5,16248,203.7
Greece,GR,NO2,Morbidity,Asthma - adults,Years Lived with Disability (YLD),>= 19 years of age,10456590,8602423,17.1,786,9.1
Greece,GR,O3,Mortality,All causes,Attributable deaths (AD),>= 25 years of age,10456590,7977724,95.9,2224,27.9
Hungary,HU,NO2,Morbidity,Diabetes Mellitus,Years Lived with Disability (YLD),>= 25 years of age,9610069,7236473,13.9,1804,24.9
Hungary,HU,NO2,Total burden of disease,Diabetes Mellitus,Disability-Adjusted Life Years (DALY),>= 25 years of age,9610069,7236473,13.9,5151,71.2
Hungary,HU,PM2.5,Morbidity,Ischemic heart disease,Years Lived with Disability (YLD),>= 25 years of age,9610069,7236473,13.8,614,8.5
Hungary,HU,PM2.5,Mortality,All causes,Years of Life Lost (YLL),>= 30 years of age,9610069,6637889,13.8,89309,1345.4
Hungary,HU,PM2.5,Mortality,Asthma - children and adolescents,Years of Life Lost (YLL),< 19 years of age,9610069,1783599,13.8,10,0.6
Lithuania,LT,NO2,Mortality,Asthma - adults,Years of Life Lost (YLL),>= 19 years of age,2805763,2284253,9.7,5,0.2
Lithuania,LT,NO2,Mortality,Stroke,Attributable deaths (AD),>= 25 years of age,2805763,2119968,9.7,57,2.7
Lithuania,LT,O3,Mortality,All causes,Years of Life Lost (YLL),>= 0 years of age,2805763,2805762,2248.2,1082,38.6
Lithuania,LT,PM2.5,Mortality,Chronic obstructive pulmonary disease,Attributable deaths (AD),>= 25 years of age,2805763,2119968,9.7,47,2.2
Lithuania,LT,PM2.5,Total burden of disease,Stroke,Disability-Adjusted Life Years (DALY),>= 25 years of age,2805763,2119968,9.7,5250,247.7
Greece,GR,NO2,Mortality,Chronic obstructive pulmonary disease,Attributable deaths (AD),>= 25 years of age,10456590,7977724,17.1,299,3.8
Greece,GR,NO2,Total burden of disease,Asthma - adults,Disability-Adjusted Life Years (DALY),>= 19 years of age,10456590,8602423,17.1,821,9.5
Greece,GR,PM2.5,Total burden of disease,Chronic obstructive pulmonary disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,10456554,7977697,15.5,7033,88.2
Greece,GR,PM2.5,Total burden of disease,Stroke,Disability-Adjusted Life Years (DALY),>= 25 years of age,10456554,7977697,15.5,22756,285.3
Malta,MT,NO2,Morbidity,Asthma - adults,Years Lived with Disability (YLD),>= 19 years of age,520155,434763,11.0,18,4.2
Malta,MT,NO2,Mortality,Chronic obstructive pulmonary disease,Attributable deaths (AD),>= 25 years of age,520155,400662,11.0,3,0.8
Malta,MT,NO2,Total burden of disease,Chronic obstructive pulmonary disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,520155,400662,11.0,36,9.2
Malta,MT,O3,Mortality,All causes,Years of Life Lost (YLL),>= 0 years of age,520155,520154,6797.7,350,67.4
Malta,MT,PM2.5,Mortality,Lung cancer,Attributable deaths (AD),>= 25 years of age,520155,400662,10.6,19,4.8
Malta,MT,PM2.5,Mortality,Lung cancer,Years of Life Lost (YLL),>= 25 years of age,520155,400662,10.6,277,69.2
Malta,MT,PM2.5,Mortality,Stroke,Attributable deaths (AD),>= 25 years of age,520155,400662,10.6,28,7.2
Malta,MT,PM2.5,Mortality,Stroke,Years of Life Lost (YLL),>= 25 years of age,520155,400662,10.6,275,68.8
Malta,MT,PM2.5,Total burden of disease,Chronic obstructive pulmonary disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,520155,400662,10.6,195,48.8
Malta,MT,PM2.5,Total burden of disease,Stroke,Disability-Adjusted Life Years (DALY),>= 25 years of age,520155,400662,10.6,296,73.9
Greece,GR,PM2.5,Total burden of disease,Ischemic heart disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,10456554,7977697,15.5,27211,341.1
Netherlands,NL,NO2,Morbidity,Stroke,Years Lived with Disability (YLD),>= 25 years of age,17589242,12718935,15.6,1592,12.5
Netherlands,NL,NO2,Mortality,Asthma - adults,Attributable deaths (AD),>= 19 years of age,17589242,14074622,15.6,7,0.1
Netherlands,NL,NO2,Total burden of disease,Asthma - children and adolescents,Disability-Adjusted Life Years (DALY),< 19 years of age,17589242,3514619,15.6,665,18.9
Netherlands,NL,NO2,Total burden of disease,Chronic obstructive pulmonary disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,17589242,12718935,15.6,7174,56.4
Netherlands,NL,O3,Mortality,All causes,Years of Life Lost (YLL),>= 25 years of age,17589242,12718935,85.6,18851,148.2
Netherlands,NL,PM2.5,Morbidity,Chronic obstructive pulmonary disease,Years Lived with Disability (YLD),>= 25 years of age,17589242,12718935,9.3,3910,30.7
Netherlands,NL,PM2.5,Morbidity,Diabetes Mellitus,Years Lived with Disability (YLD),>= 25 years of age,17589242,12718935,9.3,2361,18.6
Netherlands,NL,PM2.5,Mortality,All causes,Years of Life Lost (YLL),>= 30 years of age,17589242,11584522,9.3,52445,452.7
Netherlands,NL,PM2.5,Mortality,Diabetes Mellitus,Attributable deaths (AD),>= 25 years of age,17589242,12718935,9.3,620,4.9
Netherlands,NL,PM2.5,Mortality,Stroke,Years of Life Lost (YLL),>= 25 years of age,17589242,12718935,9.3,7918,62.3
Poland,PL,NO2,Total burden of disease,Asthma - children and adolescents,Disability-Adjusted Life Years (DALY),< 19 years of age,36888341,7106308,12.3,1681,23.7
Poland,PL,O3,Mortality,All causes,Years of Life Lost (YLL),>= 25 years of age,36888341,27572623,88.4,62270,225.8
Poland,PL,PM2.5,Morbidity,Ischemic heart disease,Years Lived with Disability (YLD),>= 25 years of age,36888341,27572623,15.9,6039,21.9
Poland,PL,PM2.5,Morbidity,Lung cancer,Years Lived with Disability (YLD),>= 25 years of age,36888341,27572623,15.9,576,2.1
Poland,PL,PM2.5,Mortality,Diabetes Mellitus,Attributable deaths (AD),>= 25 years of age,36888341,27572623,15.9,4821,17.5
Poland,PL,PM2.5,Mortality,Lung cancer,Years of Life Lost (YLL),>= 25 years of age,36888341,27572623,15.9,55880,202.7
Italy,IT,NO2,Mortality,Asthma - adults,Attributable deaths (AD),>= 19 years of age,59028195,49239894,18.3,36,0.1
Italy,IT,NO2,Mortality,Asthma - children and adolescents,Years of Life Lost (YLL),< 19 years of age,59028195,9788300,18.3,33,0.3
Italy,IT,O3,Mortality,Chronic obstructive pulmonary disease,Years of Life Lost (YLL),>= 25 years of age,59028195,45749377,102.9,11235,24.6
Italy,IT,O3,Mortality,All causes,Years of Life Lost (YLL),>= 0 years of age,59028195,59028194,6956.0,50379,85.3
Italy,IT,PM2.5,Morbidity,Lung cancer,Years Lived with Disability (YLD),>= 25 years of age,59028195,45749377,15.1,786,1.7
Italy,IT,PM2.5,Morbidity,Stroke,Years Lived with Disability (YLD),>= 25 years of age,59028195,45749377,15.1,20032,43.8
Italy,IT,PM2.5,Mortality,All causes,Attributable deaths (AD),>= 30 years of age,59028195,42748131,15.1,51000,119.3
Italy,IT,PM2.5,Mortality,Chronic obstructive pulmonary disease,Attributable deaths (AD),>= 25 years of age,59028195,45749377,15.1,4740,10.4
Lithuania,LT,NO2,Mortality,All causes,Years of Life Lost (YLL),>= 30 years of age,2805763,1957414,9.7,1286,65.7
Lithuania,LT,NO2,Mortality,Diabetes Mellitus,Attributable deaths (AD),>= 25 years of age,2805763,2119968,9.7,21,1.0
Lithuania,LT,NO2,Total burden of disease,Chronic obstructive pulmonary disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,2805763,2119968,9.7,190,9.0
Lithuania,LT,NO2,Total burden of disease,Diabetes Mellitus,Disability-Adjusted Life Years (DALY),>= 25 years of age,2805763,2119968,9.7,344,16.2
Lithuania,LT,O3,Mortality,Chronic obstructive pulmonary disease,Years of Life Lost (YLL),>= 25 years of age,2805763,2119968,78.1,137,6.5
Lithuania,LT,PM2.5,Mortality,Asthma - children and adolescents,Years of Life Lost (YLL),< 19 years of age,2805763,521509,9.7,0,0.0
Lithuania,LT,PM2.5,Total burden of disease,Ischemic heart disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,2805763,2119968,9.7,9866,465.4
Latvia,LV,NO2,Mortality,All causes,Attributable deaths (AD),>= 30 years of age,1875054,1302366,9.0,109,8.4
Latvia,LV,NO2,Mortality,Stroke,Attributable deaths (AD),>= 25 years of age,1875054,1399510,9.0,59,4.3
Latvia,LV,O3,Mortality,Chronic obstructive pulmonary disease,Attributable deaths (AD),>= 25 years of age,1875054,1399510,77.6,7,0.6
Latvia,LV,PM2.5,Morbidity,Dementia,Years Lived with Disability (YLD),>= 60 years of age,1875054,526275,8.7,896,170.3
Latvia,LV,PM2.5,Morbidity,Stroke,Years Lived with Disability (YLD),>= 25 years of age,1875054,1399510,8.7,162,11.6
Latvia,LV,PM2.5,Mortality,Asthma - children and adolescents,Attributable deaths (AD),< 19 years of age,1875054,375032,8.7,0,0.0
Latvia,LV,PM2.5,Mortality,Chronic obstructive pulmonary disease,Years of Life Lost (YLL),>= 25 years of age,1875054,1399510,8.7,239,17.1
Poland,PL,NO2,Mortality,All causes,Attributable deaths (AD),>= 30 years of age,36888341,25361005,12.3,2720,10.7
Poland,PL,NO2,Mortality,All causes,Years of Life Lost (YLL),>= 30 years of age,36888341,25361005,12.3,30636,120.8
Poland,PL,PM2.5,Morbidity,Stroke,Years Lived with Disability (YLD),>= 25 years of age,36888341,27572623,15.9,16923,61.4
Ireland,IE,NO2,Mortality,Asthma - children and adolescents,Years of Life Lost (YLL),< 19 years of age,5154073,1281295,9.0,0,0.1
Ireland,IE,NO2,Mortality,Diabetes Mellitus,Attributable deaths (AD),>= 25 years of age,5154073,3496692,9.0,19,0.6
Ireland,IE,NO2,Total burden of disease,Chronic obstructive pulmonary disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,5154073,3496692,9.0,416,11.9
Ireland,IE,PM2.5,Mortality,Asthma - children and adolescents,Years of Life Lost (YLL),< 19 years of age,5154073,1281295,7.0,3,0.2
Ireland,IE,PM2.5,Mortality,Diabetes Mellitus,Attributable deaths (AD),>= 25 years of age,5154073,3496692,7.0,66,1.9
Ireland,IE,PM2.5,Mortality,Ischemic heart disease,Attributable deaths (AD),>= 25 years of age,5154073,3496692,7.0,187,5.4
Poland,PL,NO2,Mortality,Stroke,Attributable deaths (AD),>= 25 years of age,36888341,27572623,12.3,669,2.4
Poland,PL,O3,Mortality,All causes,Attributable deaths (AD),>= 25 years of age,36888341,27572623,88.4,5492,19.9
Poland,PL,PM2.5,Morbidity,Diabetes Mellitus,Years Lived with Disability (YLD),>= 25 years of age,36888341,27572623,15.9,17394,63.1
Poland,PL,PM2.5,Mortality,Stroke,Attributable deaths (AD),>= 25 years of age,36888341,27572623,15.9,7338,26.6
San Marino,SM,NO2,Morbidity,Diabetes Mellitus,Years Lived with Disability (YLD),>= 25 years of age,33693,26113,12.9,3,13.5
San Marino,SM,NO2,Mortality,All causes,Attributable deaths (AD),>= 30 years of age,33693,24400,12.9,2,10.2
San Marino,SM,NO2,Mortality,Asthma - adults,Attributable deaths (AD),>= 19 years of age,33693,28105,12.9,0,0.0
San Marino,SM,NO2,Mortality,Asthma - children and adolescents,Attributable deaths (AD),< 19 years of age,33693,5587,12.9,0,0.0
San Marino,SM,NO2,Total burden of disease,Diabetes Mellitus,Disability-Adjusted Life Years (DALY),>= 25 years of age,33693,26113,12.9,11,45.6
San Marino,SM,O3,Mortality,All causes,Attributable deaths (AD),>= 0 years of age,33693,33692,5586.0,2,7.6
San Marino,SM,PM2.5,Mortality,Ischemic heart disease,Years of Life Lost (YLL),>= 25 years of age,33693,26113,13.8,51,195.5
San Marino,SM,PM2.5,Total burden of disease,Diabetes Mellitus,Disability-Adjusted Life Years (DALY),>= 25 years of age,33693,26113,13.8,59,228.0
San Marino,SM,PM2.5,Total burden of disease,Ischemic heart disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,33693,26113,13.8,52,200.7
Hungary,HU,PM2.5,Morbidity,Lung cancer,Years Lived with Disability (YLD),>= 25 years of age,9610069,7236473,13.8,161,2.2
Hungary,HU,PM2.5,Mortality,Ischemic heart disease,Attributable deaths (AD),>= 25 years of age,9610069,7236473,13.8,5193,71.8
Portugal,PT,NO2,Mortality,Diabetes Mellitus,Years of Life Lost (YLL),>= 25 years of age,9925856,7594707,11.9,2019,26.6
Portugal,PT,NO2,Total burden of disease,Asthma - adults,Disability-Adjusted Life Years (DALY),>= 19 years of age,9925856,8232291,11.9,619,7.5
Portugal,PT,PM2.5,Mortality,All causes,Attributable deaths (AD),>= 30 years of age,9925856,7075770,9.3,3659,51.7
Portugal,PT,PM2.5,Mortality,Ischemic heart disease,Attributable deaths (AD),>= 25 years of age,9925856,7594707,9.3,566,7.5
Portugal,PT,PM2.5,Total burden of disease,Chronic obstructive pulmonary disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,9925856,7594707,9.3,4481,59.0
Lithuania,LT,NO2,Morbidity,Asthma - adults,Years Lived with Disability (YLD),>= 19 years of age,2805763,2284253,9.7,36,1.6
Lithuania,LT,NO2,Mortality,Chronic obstructive pulmonary disease,Years of Life Lost (YLL),>= 25 years of age,2805763,2119968,9.7,85,4.1
Lithuania,LT,PM2.5,Morbidity,Asthma - children and adolescents,Years Lived with Disability (YLD),< 19 years of age,2805763,521509,9.7,120,23.1
Lithuania,LT,PM2.5,Mortality,All causes,Attributable deaths (AD),>= 30 years of age,2805763,1957414,9.7,1435,73.4
Lithuania,LT,PM2.5,Mortality,Ischemic heart disease,Attributable deaths (AD),>= 25 years of age,2805763,2119968,9.7,1270,59.9
Lithuania,LT,PM2.5,Total burden of disease,Asthma - children and adolescents,Disability-Adjusted Life Years (DALY),< 19 years of age,2805763,521509,9.7,120,23.1
Ireland,IE,NO2,Morbidity,Asthma - adults,Years Lived with Disability (YLD),>= 19 years of age,5154073,3872777,9.0,152,3.9
Ireland,IE,NO2,Morbidity,Chronic obstructive pulmonary disease,Years Lived with Disability (YLD),>= 25 years of age,5154073,3496692,9.0,58,1.7
Ireland,IE,NO2,Morbidity,Stroke,Years Lived with Disability (YLD),>= 25 years of age,5154073,3496692,9.0,60,1.7
Ireland,IE,O3,Mortality,All causes,Years of Life Lost (YLL),>= 0 years of age,5154073,5154072,2146.1,1018,19.8
Ireland,IE,PM2.5,Morbidity,Chronic obstructive pulmonary disease,Years Lived with Disability (YLD),>= 25 years of age,5154073,3496692,7.0,228,6.5
Ireland,IE,PM2.5,Total burden of disease,Chronic obstructive pulmonary disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,5154073,3496692,7.0,1116,31.9
Ireland,IE,PM2.5,Total burden of disease,Diabetes Mellitus,Disability-Adjusted Life Years (DALY),>= 25 years of age,5154073,3496692,7.0,864,24.7
Sweden,SE,NO2,Morbidity,Asthma - children and adolescents,Years Lived with Disability (YLD),< 19 years of age,10444357,2313455,6.7,34,1.5
Sweden,SE,NO2,Mortality,Diabetes Mellitus,Attributable deaths (AD),>= 25 years of age,10444357,7438361,6.7,15,0.2
Sweden,SE,NO2,Mortality,Diabetes Mellitus,Years of Life Lost (YLL),>= 25 years of age,10444357,7438361,6.7,152,2.1
Sweden,SE,O3,Mortality,All causes,Attributable deaths (AD),>= 0 years of age,10444357,10444356,2320.0,243,2.3
Sweden,SE,PM2.5,Mortality,All causes,Years of Life Lost (YLL),>= 30 years of age,10444357,6746574,5.3,4537,67.3
Sweden,SE,PM2.5,Mortality,Ischemic heart disease,Attributable deaths (AD),>= 25 years of age,10444357,7438361,5.3,136,1.8
Sweden,SE,PM2.5,Mortality,Stroke,Attributable deaths (AD),>= 25 years of age,10444357,7438361,5.3,81,1.1
Sweden,SE,PM2.5,Total burden of disease,Lung cancer,Disability-Adjusted Life Years (DALY),>= 25 years of age,10444357,7438361,5.3,626,8.4
Monaco,MC,NO2,Mortality,Stroke,Years of Life Lost (YLL),>= 25 years of age,38338,27085,17.1,7,27.0
Monaco,MC,NO2,Total burden of disease,Asthma - children and adolescents,Disability-Adjusted Life Years (DALY),< 19 years of age,38338,8584,17.1,2,25.8
Monaco,MC,PM2.5,Morbidity,Dementia,Years Lived with Disability (YLD),>= 60 years of age,38338,10354,10.2,27,267.6
Monaco,MC,PM2.5,Mortality,All causes,Years of Life Lost (YLL),>= 30 years of age,38338,24953,10.2,143,575.1
Italy,IT,NO2,Total burden of disease,Diabetes Mellitus,Disability-Adjusted Life Years (DALY),>= 25 years of age,59028195,45749377,18.3,48656,106.4
Italy,IT,PM2.5,Mortality,Ischemic heart disease,Attributable deaths (AD),>= 25 years of age,59028195,45749377,15.1,11118,24.3
Italy,IT,NO2,Morbidity,Asthma - children and adolescents,Years Lived with Disability (YLD),< 19 years of age,59028195,9788300,18.3,1825,18.6
Italy,IT,NO2,Mortality,Asthma - adults,Years of Life Lost (YLL),>= 19 years of age,59028195,49239894,18.3,378,0.8
Italy,IT,NO2,Mortality,Diabetes Mellitus,Attributable deaths (AD),>= 25 years of age,59028195,45749377,18.3,3997,8.7
Italy,IT,O3,Mortality,All causes,Years of Life Lost (YLL),>= 25 years of age,59028195,45749377,102.9,119002,260.1
Italy,IT,PM2.5,Morbidity,Asthma - children and adolescents,Years Lived with Disability (YLD),< 19 years of age,59028195,9788300,15.1,4741,48.4
Italy,IT,PM2.5,Total burden of disease,Lung cancer,Disability-Adjusted Life Years (DALY),>= 25 years of age,59028195,45749377,15.1,76355,166.9
Germany,DE,PM2.5,Mortality,Lung cancer,Attributable deaths (AD),>= 25 years of age,83233509,63277933,9.2,3559,5.6
Germany,DE,PM2.5,Mortality,Lung cancer,Years of Life Lost (YLL),>= 25 years of age,83233509,63277933,9.2,51429,81.3
Germany,DE,PM2.5,Mortality,Stroke,Attributable deaths (AD),>= 25 years of age,83233509,63277933,9.2,5334,8.4
Luxembourg,LU,NO2,Mortality,Asthma - children and adolescents,Years of Life Lost (YLL),< 19 years of age,645393,129299,13.4,0,0.0
Luxembourg,LU,NO2,Mortality,Stroke,Years of Life Lost (YLL),>= 25 years of age,645393,470522,13.4,53,11.3
Luxembourg,LU,NO2,Total burden of disease,Chronic obstructive pulmonary disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,645393,470522,13.4,140,29.8
Luxembourg,LU,PM2.5,Morbidity,Stroke,Years Lived with Disability (YLD),>= 25 years of age,645393,470522,7.4,32,7.0
Latvia,LV,NO2,Morbidity,Stroke,Years Lived with Disability (YLD),>= 25 years of age,1875054,1399510,9.0,35,2.5
Latvia,LV,NO2,Mortality,Chronic obstructive pulmonary disease,Attributable deaths (AD),>= 25 years of age,1875054,1399510,9.0,6,0.4
Latvia,LV,PM2.5,Mortality,Lung cancer,Attributable deaths (AD),>= 25 years of age,1875054,1399510,8.7,61,4.4
Latvia,LV,PM2.5,Total burden of disease,Asthma - children and adolescents,Disability-Adjusted Life Years (DALY),< 19 years of age,1875054,375032,8.7,81,21.6
Malta,MT,NO2,Morbidity,Stroke,Years Lived with Disability (YLD),>= 25 years of age,520155,400662,11.0,2,0.7
Malta,MT,NO2,Mortality,Diabetes Mellitus,Attributable deaths (AD),>= 25 years of age,520155,400662,11.0,7,1.8
Malta,MT,O3,Mortality,All causes,Attributable deaths (AD),>= 25 years of age,520155,400662,96.6,64,16.1
Malta,MT,O3,Mortality,Chronic obstructive pulmonary disease,Years of Life Lost (YLL),>= 25 years of age,520155,400662,96.6,75,18.9
Malta,MT,PM2.5,Morbidity,Asthma - children and adolescents,Years Lived with Disability (YLD),< 19 years of age,520155,85391,10.6,38,44.9
Malta,MT,PM2.5,Morbidity,Lung cancer,Years Lived with Disability (YLD),>= 25 years of age,520155,400662,10.6,2,0.6
Malta,MT,PM2.5,Mortality,Ischemic heart disease,Attributable deaths (AD),>= 25 years of age,520155,400662,10.6,72,18.1
Malta,MT,PM2.5,Total burden of disease,Diabetes Mellitus,Disability-Adjusted Life Years (DALY),>= 25 years of age,520155,400662,10.6,650,162.5
Malta,MT,PM2.5,Total burden of disease,Ischemic heart disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,520155,400662,10.6,836,208.8
Poland,PL,NO2,Mortality,Chronic obstructive pulmonary disease,Attributable deaths (AD),>= 25 years of age,36888341,27572623,12.3,231,0.8
Poland,PL,NO2,Total burden of disease,Chronic obstructive pulmonary disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,36888341,27572623,12.3,3691,13.4
Poland,PL,PM2.5,Mortality,Asthma - children and adolescents,Years of Life Lost (YLL),< 19 years of age,36888341,7106308,15.9,0,0.0
Poland,PL,PM2.5,Mortality,Lung cancer,Attributable deaths (AD),>= 25 years of age,36888341,27572623,15.9,3982,14.4
Poland,PL,PM2.5,Mortality,Stroke,Years of Life Lost (YLL),>= 25 years of age,36888341,27572623,15.9,73322,265.9
Latvia,LV,NO2,Mortality,Asthma - adults,Attributable deaths (AD),>= 19 years of age,1875054,1500021,9.0,0,0.0
Poland,PL,NO2,Morbidity,Asthma - adults,Years Lived with Disability (YLD),>= 19 years of age,36888341,29782032,12.3,1403,4.7
Poland,PL,NO2,Morbidity,Asthma - children and adolescents,Years Lived with Disability (YLD),< 19 years of age,36888341,7106308,12.3,1681,23.7
Poland,PL,NO2,Morbidity,Stroke,Years Lived with Disability (YLD),>= 25 years of age,36888341,27572623,12.3,2208,8.0
Poland,PL,NO2,Mortality,Asthma - adults,Attributable deaths (AD),>= 19 years of age,36888341,29782032,12.3,16,0.1
Poland,PL,NO2,Mortality,Asthma - children and adolescents,Attributable deaths (AD),< 19 years of age,36888341,7106308,12.3,0,0.0
Poland,PL,NO2,Total burden of disease,Asthma - adults,Disability-Adjusted Life Years (DALY),>= 19 years of age,36888341,29782032,12.3,1604,5.4
Poland,PL,NO2,Total burden of disease,Stroke,Disability-Adjusted Life Years (DALY),>= 25 years of age,36888341,27572623,12.3,8895,32.3
Poland,PL,PM2.5,Mortality,Ischemic heart disease,Attributable deaths (AD),>= 25 years of age,36888341,27572623,15.9,13047,47.3
Latvia,LV,NO2,Total burden of disease,Asthma - adults,Disability-Adjusted Life Years (DALY),>= 19 years of age,1875054,1500021,9.0,43,2.9
Latvia,LV,NO2,Total burden of disease,Chronic obstructive pulmonary disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,1875054,1399510,9.0,114,8.2
Latvia,LV,PM2.5,Morbidity,Chronic obstructive pulmonary disease,Years Lived with Disability (YLD),>= 25 years of age,1875054,1399510,8.7,253,18.1
Greece,GR,NO2,Mortality,Asthma - adults,Years of Life Lost (YLL),>= 19 years of age,10456590,8602423,17.1,35,0.4
Greece,GR,NO2,Mortality,Chronic obstructive pulmonary disease,Years of Life Lost (YLL),>= 25 years of age,10456590,7977724,17.1,2171,27.2
Greece,GR,NO2,Total burden of disease,Asthma - children and adolescents,Disability-Adjusted Life Years (DALY),< 19 years of age,10456590,1854166,17.1,345,18.6
Greece,GR,PM2.5,Mortality,All causes,Attributable deaths (AD),>= 30 years of age,10456554,7447940,15.5,10409,139.8
Greece,GR,PM2.5,Mortality,Lung cancer,Attributable deaths (AD),>= 25 years of age,10456554,7977697,15.5,1226,15.4
Latvia,LV,NO2,Mortality,All causes,Years of Life Lost (YLL),>= 30 years of age,1875054,1302366,9.0,1123,86.2
Latvia,LV,O3,Mortality,All causes,Attributable deaths (AD),>= 0 years of age,1875054,1875053,2170.5,74,4.0
Latvia,LV,PM2.5,Morbidity,Asthma - children and adolescents,Years Lived with Disability (YLD),< 19 years of age,1875054,375032,8.7,74,19.8
Latvia,LV,PM2.5,Mortality,Chronic obstructive pulmonary disease,Attributable deaths (AD),>= 25 years of age,1875054,1399510,8.7,21,1.6
Hungary,HU,NO2,Mortality,Chronic obstructive pulmonary disease,Years of Life Lost (YLL),>= 25 years of age,9610069,7236473,13.9,3258,45.0
Hungary,HU,NO2,Mortality,Diabetes Mellitus,Years of Life Lost (YLL),>= 25 years of age,9610069,7236473,13.9,3347,46.3
Hungary,HU,NO2,Total burden of disease,Asthma - children and adolescents,Disability-Adjusted Life Years (DALY),< 19 years of age,9610069,1783599,13.9,199,11.2
